iso15924,iso_number,name_en,name_fr,native_name,type,direction,first_use,last_use,status,parent,edge,origin,unicode_version,unicode_block_start,codepoints,specimen,specimen_font,glyph_missing_reason
Adlm,166,Adlam,adlam,𞤀𞤣𞤤𞤢𞤥 𞤆𞤵𞤤𞤢𞤪,alphabet,rtl,1989,present,living,Arab,stimulus,Egyp,9.0,U+1E900,88,𞤀𞤁𞤂𞤃𞤄𞤅,NotoSansAdlam,
Afak,439,Afaka,afaka,,syllabary,ltr,1910,present,historical,Latn,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Aghb,239,Caucasian Albanian,aghbanien,,alphabet,ltr,400,1000,historical,Armn,contested,Egyp,7.0,U+10530,53,𐔰𐔱𐔲𐔳𐔴𐔵,NotoSansCaucasianAlbanian,
Ahom,338,"Ahom, Tai Ahom",âhom,,abugida,ltr,1300,1800,revived,Mymr,attested,Egyp,8.0,U+11700,65,𑜀𑜁𑜂𑜃𑜄𑜅,NotoSerifAhom,
Arab,160,Arabic,arabe,الكتابة العربية,abjad,rtl,400,present,living,Nbat,attested,Egyp,1.1,U+0600,1413,ابجدهو,NotoSansArabic,
Aran,161,Arabic (Nastaliq variant),arabe (variante nastalique),نَستَعلِیق,variant,rtl,1400,present,living,Arab,variant,Egyp,1.1,,0,ابجدهو,NotoNastaliqUrdu,
Armi,124,Imperial Aramaic,araméen impérial,,abjad,rtl,-900,-100,historical,Phnx,attested,Egyp,5.2,U+10840,31,𐡀𐡁𐡂𐡃𐡄𐡅,NotoSansImperialAramaic,
Armn,230,Armenian,arménien,,alphabet,ltr,405,present,living,Grek,contested,Egyp,1.1,U+0531,96,ԱԲԳԴԵԶ,NotoSansArmenian,
Avst,134,Avestan,avestique,,alphabet,rtl,400,1000,historical,Phlv,attested,Egyp,5.2,U+10B00,61,𐬀𐬁𐬂𐬃𐬄𐬅,NotoSansAvestan,
Bali,360,Balinese,balinais,ᬅᬓ᭄ᬱᬭᬩᬮᬶ,abugida,ltr,1000,present,living,Kawi,attested,Egyp,5.0,U+1B00,127,ᬅᬆᬇᬈᬉᬊ,NotoSansBalinese,
Bamu,435,Bamum,bamoum,,syllabary,ltr,1896,present,living,Latn,stimulus,Egyp,5.2,U+A6A0,657,ꚠꚡꚢꚣꚤꚥ,NotoSansBamum,
Bass,259,Bassa Vah,bassa,,alphabet,ltr,1907,present,living,Latn,stimulus,Egyp,7.0,U+16AD0,36,𖫐𖫑𖫒𖫓𖫔𖫕,NotoSansBassaVah,
Batk,365,Batak,batak,ᯘᯮᯒᯖ᯲ ᯅᯖᯂ᯲,abugida,ltr,1300,present,living,Kawi,attested,Egyp,6.0,U+1BC0,56,ᯀᯁᯂᯃᯄᯅ,NotoSansBatak,
Beng,325,Bengali (Bangla),bengalî (bangla),বাংলা-অসমীয়া,abugida,ltr,1000,present,living,Sidd,attested,Egyp,1.1,U+0980,96,অআইকখগ,NotoSansBengali,
Berf,258,Beria Erfe,beria erfe,,alphabet,rtl,1980,present,living,Arab,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Bhks,334,Bhaiksuki,bhaïksukî,भैक्षुकी,abugida,ltr,1000,1200,historical,Brah,attested,Egyp,9.0,U+11C00,97,𑰀𑰁𑰂𑰃𑰄𑰅,NotoSansBhaiksuki,
Blis,550,Blissymbols,symboles Bliss,,semasiographic,ltr,1949,present,living,Hani,stimulus,Hani,not encoded,,0,,,not encoded in Unicode
Bopo,285,Bopomofo,bopomofo,注音符號,syllabary,varies,1913,present,living,Hani,attested,Hani,1.1,U+02EA,77,ㄅㄆㄇㄈㄉㄊ,Noto Sans TC (Google Fonts subset),
Brah,300,Brahmi,brahma,𑀩𑁆𑀭𑀸𑀳𑁆𑀫𑀻,abugida,ltr,-300,500,historical,Armi,contested,Egyp,6.0,U+11000,115,𑀃𑀄𑀅𑀆𑀇𑀈,NotoSansBrahmi,
Brai,570,Braille,braille,,alphabet,ltr,1824,present,living,Latn,stimulus,Egyp,3.0,U+2800,256,⠁⠃⠉⠙⠑⠋,NotoSansSymbols2,
Bugi,367,Buginese,bouguis,ᨒᨚᨈᨑ,abugida,ltr,1600,present,living,Kawi,attested,Egyp,4.1,U+1A00,30,ᨀᨁᨂᨃᨄᨅ,NotoSansBuginese,
Buhd,372,Buhid,bouhide,ᝊᝓᝑᝒ,abugida,ltr,1300,present,living,Tglg,attested,Egyp,3.2,U+1740,20,ᝀᝁᝂᝃᝄᝅ,NotoSansBuhid,
Cakm,349,Chakma,chakma,𑄌𑄋𑄴𑄟𑄳𑄦 𑄃𑄧𑄏𑄛𑄖𑄴,abugida,ltr,1700,present,living,Mymr,attested,Egyp,6.1,U+11100,71,𑄃𑄄𑄅𑄆𑄇𑄈,NotoSansChakma,
Cans,440,Unified Canadian Aboriginal Syllabics,syllabaire autochtone canadien unifié,,abugida,ltr,1840,present,living,Latn,stimulus,Egyp,3.0,U+1400,726,ᐁᐂᐃᐄᐅᐆ,NotoSansCanadianAboriginal,
Cari,201,Carian,carien,,alphabet,varies,-700,-300,historical,Grek,contested,Egyp,5.1,U+102A0,49,𐊠𐊡𐊢𐊣𐊤𐊥,NotoSansCarian,
Cham,358,Cham,"cham (čam, tcham)",ꨀꨇꩉ ꨌꩌ,abugida,ltr,400,present,living,Gran,attested,Egyp,5.1,U+AA00,83,ꨀꨁꨂꨃꨄꨅ,NotoSansCham,
Cher,445,Cherokee,tchérokî,,syllabary,ltr,1821,present,living,Latn,stimulus,Egyp,3.0,U+13A0,172,ᎠᎡᎢᎣᎤᎥ,NotoSansCherokee,
Chis,298,Chisoi,chisoi,,alphabet,ltr,1990,present,living,Latn,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Chrs,109,Chorasmian,chorasmien,زڨاک ای خوارزم,abjad,rtl,-100,800,historical,Armi,attested,Egyp,13.0,U+10FB0,28,𐾰𐾱𐾲𐾳𐾴𐾵,NotoSansChorasmian,
Cirt,291,Cirth,cirth,,alphabet,ltr,1930,present,fictional,Runr,stimulus,Egyp,not encoded,,0,,,not encoded in Unicode
Copt,204,Coptic,copte,,alphabet,ltr,200,present,living,Grek,attested,Egyp,4.1,U+03E2,137,ⲀⲂⲄⲆⲈⲊ,NotoSansCoptic,
Cpmn,402,Cypro-Minoan,syllabaire chypro-minoen,,undeciphered,ltr,-1550,-1050,undeciphered,Lina,attested,Lina,14.0,U+12F90,99,𒾐𒾑𒾒𒾓𒾔𒾕,NotoSansCyproMinoan,
Cprt,403,Cypriot syllabary,syllabaire chypriote,,syllabary,rtl,-1100,-300,historical,Cpmn,attested,Lina,4.0,U+10800,55,𐠀𐠁𐠂𐠃𐠄𐠅,NotoSansCypriot,
Cyrl,220,Cyrillic,cyrillique,кириллица,alphabet,ltr,900,present,living,Grek,attested,Egyp,1.1,U+0400,508,АБВГДЕ,NotoSans,
Cyrs,221,Cyrillic (Old Church Slavonic variant),cyrillique (variante slavonne),,variant,ltr,900,present,living,Cyrl,variant,Egyp,1.1,,0,АБВГДЕ,NotoSans,
Deva,315,Devanagari (Nagari),dévanâgarî,देवनागरी,abugida,ltr,700,present,living,Sidd,attested,Egyp,1.1,U+0900,164,अआइकखग,NotoSansDevanagari,
Diak,342,Dives Akuru,dives akuru,𑤙𑤱𑤩𑤵𑤭𑤱 𑤀𑤌𑤳𑤧𑤳,abugida,ltr,800,1700,historical,Sinh,attested,Egyp,13.0,U+11900,72,𑤀𑤁𑤂𑤃𑤄𑤅,NotoSerifDivesAkuru,
